"","8:10","8:20","8:30","8:40","8:50","9:00","9:10","9:20","9:30","9:40","9:50","10:00","10:10","10:20","10:30","10:40","10:50","11:00","11:10","11:20","11:30","11:40","11:50","12:00","12:10","12:20","12:30","12:40","12:50","13:00","13:10","13:20","13:30","13:40","13:50","14:00","14:10","14:20","14:30","14:40","14:50","15:00","15:10","15:20","15:30","15:40","15:50","16:00","16:10","16:20","16:30","16:40","16:50","17:00","17:10","17:20","17:30","17:40","17:50","18:00","18:10","18:20","18:30","18:40","18:50","19:00"
"shuttle","47","41","48","47","49","45","50","47","54","53","52","49","35","32","30","33","35","30","35","32","32","31","29","20","35","38","29","29","27","29","29","38","28","22","29","26","34","33","22","27","40","31","31","28","29","29","27","33","40","43","45","49","42","40","44","59","48","48","45","59","51","65","45","56","56","58"
"subway","5558","5558","5558","5558","5558","6202","6202","6202","6202","6202","6202","3770","3770","3770","3770","3770","3770","3082","3082","3082","3082","3082","3082","3074","3074","3074","3074","3074","3074","3287","3287","3287","3287","3287","3287","3378","3378","3378","3378","3378","3378","3317","3317","3317","3317","3317","3317","3413","3413","3413","3413","3413","3413","4080","4080","4080","4080","4080","4080","6939","6939","6939","6939","6939","6939","6939"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","30853","7684","26052","17220","14376","12521","12564","10147","12441","9083","12737","10315","12025","11461","11904","11341","11861","11509","13586","15278","17154","19309","16893","30495","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","30195","7436","25271","16717","14494","11185","11900","9163","12087","8818","12609","9712","11928","11119","11304","11294","11403","11490","12997","15088","17044","19476","16937","30578","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","22902","5149","19505","11067","11118","8212","9611","6833","9778","6831","10196","7508","9501","8691","9174","8814","9041","9531","9561","11460","11646","14514","12405","23216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","24915","5557","20548","12055","11372","8511","8657","6712","8942","6516","9425","7159","8663","8244","8399","8124","8487","9185","9207","11328","11394","14959","13077","24154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","25208","5320","21180","12923","11366","8239","8496","7147","9011","6986","9329","7824","8890","8766","8650","8825","8941","9460","9607","11975","11076","15389","12810","24626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","28210","6656","24571","16164","14153","10156","11055","8663","11640","8544","12122","9392","11537","10769","10813","10787","10895","11054","12716","14069","15451","19020","16148","28459","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","162283","37802","137127","86146","76879","58824","62283","48665","63899","46778","66418","51910","62544","59050","60244","59185","60628","62229","67674","79198","83765","102667","88270","161528","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","200085","223273","135703","110948","110677","118328","121594","119429","122857","146872","186432","249798","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
